2	-1	0
2	1	625
2	3	46
2	3	988
2	5	13
2	5	770
2	6	44
2	8	372
2	8	524
2	11	101
2	11	434
2	11	678
2	12	991
2	13	736
2	14	34
2	17	230
2	18	889
2	20	815
2	23	182
2	23	935
2	23	987
2	26	258
2	26	788
2	28	37
2	29	713
2	29	718
2	31	150
2	31	620
2	33	306
2	33	334
2	35	85
2	36	164
2	38	3
2	38	357
2	38	867
2	40	854
2	41	373
2	41	639
2	44	567
2	47	344
2	47	380
2	49	731
2	49	940
2	50	146
2	51	195
2	51	556
2	52	412
2	52	533
2	53	180
2	54	64
2	54	135
2	54	615
2	56	273
2	57	245
2	59	93
2	59	730
2	60	155
2	60	274
2	61	78
2	61	431
2	61	683
2	62	623
2	63	520
2	64	5
2	64	488
2	65	549
2	65	654
2	68	43
2	68	252
2	69	223
2	70	170
2	71	857
2	73	732
2	73	845
2	74	123
2	75	27
2	75	440
2	77	728
2	78	300
2	78	409
2	80	738
2	80	852
2	81	546
2	82	376
2	82	965
2	83	844
2	86	570
2	86	603
2	88	386
2	89	221
2	90	109
2	90	378
2	90	676
2	91	169
2	91	294
2	91	633
2	91	864
2	92	576
2	92	591
2	93	460
2	93	673
2	95	914
2	96	2
2	96	577
2	96	587
2	96	609
2	97	534
2	97	714
2	98	467
2	99	127
2	99	782
2	102	187
2	102	912
2	106	649
2	109	295
2	109	708
2	110	362
2	110	707
2	113	496
2	114	424
2	114	519
2	114	721
2	115	793
2	119	56
2	119	511
2	120	15
2	120	83
2	121	358
2	121	931
2	122	165
2	122	595
2	123	161
2	124	752
2	125	333
2	125	336
2	125	894
2	126	991
2	127	413
2	129	961
2	133	558
2	134	247
2	134	900
2	135	321
2	135	462
2	136	20
2	136	217
2	136	264
2	136	956
2	137	52
2	137	643
2	137	936
2	138	16
2	138	545
2	138	997
2	141	162
2	141	301
2	141	608
2	142	892
2	144	215
2	145	120
2	145	240
2	145	700
2	145	984
2	148	184
2	149	130
2	149	260
2	149	596
2	149	932
2	150	97
2	150	353
2	151	214
2	152	86
2	153	455
2	155	139
2	157	157
2	157	189
2	158	268
2	158	563
2	158	580
2	158	637
2	158	691
2	159	82
2	159	323
2	159	484
2	159	845
2	160	30
2	160	749
2	160	787
2	161	390
2	162	191
2	162	280
2	163	763
2	163	822
2	164	53
2	164	90
2	165	351
2	166	672
2	167	10
2	167	174
2	167	276
2	167	684
2	167	852
2	168	226
2	168	644
2	169	607
2	169	658
2	169	846
2	170	367
2	170	768
2	171	419
2	172	349
2	173	559
2	175	261
2	175	709
2	176	740
2	177	143
2	177	267
2	178	894
2	181	677
2	183	722
2	183	842
2	184	532
2	185	108
2	186	469
2	187	499
2	190	616
2	191	813
2	192	23
2	192	374
2	192	779
2	193	537
2	193	900
2	195	554
2	199	535
2	199	981
2	200	205
2	201	947
2	202	320
2	202	774
2	203	24
2	203	575
2	203	578
2	203	666
2	205	433
2	205	572
2	206	476
2	209	283
2	210	153
2	210	772
2	211	22
2	211	116
2	211	399
2	212	173
